"","Peak.Brightness.Date.Time..UT.","Latitude..deg..","Longitude..deg..","Altitude..km.","Velocity..km.s.","Calculated.Total.Impact.Energy..kt.","Altitud.sin","Velocidad.sin","Altitud.Clase"
"246","2010-06-26 06:04:38","0.5S","133.2E",50,NA,0.34,50,15.9,"Estratosfera"
"247","2010-06-21 06:42:00","22.5S","120.9W",NA,NA,0.47,38,11.4,"Estratosfera"
"248","2010-06-17 04:24:45","26.1S","100.0E",42,NA,0.35,42,14.6,"Estratosfera"
"249","2010-04-17 02:21:58","13.1N","173.0W",NA,NA,0.18,20,14.7,"Estratosfera"
"250","2010-04-16 04:38:52","1.8N","176.9W",22.2,18.8,2,22.2,18.8,"Estratosfera"
"251","2010-04-06 18:33:12","52.8N","146.5W",NA,NA,0.25,20,16.7,"Estratosfera"
"252","2010-03-18 16:11:16","32.4S","51.8W",NA,NA,0.5,20,14.7,"Estratosfera"
"253","2010-03-15 15:55:43","","",NA,NA,0.25,20,15.9,"Estratosfera"
"254","2010-03-14 18:44:42","33.8N","90.2W",35.6,NA,0.14,35.6,14.6,"Estratosfera"
"255","2010-03-08 22:44:41","18.2N","110.1E",53,NA,0.1,53,16.7,"Mesosfera"
"256","2010-03-08 22:02:07","32.0N","92.9W",52,24.5,0.85,52,24.5,"Mesosfera"
"257","2010-02-28 22:24:50","48.7N","21.0E",37,15.1,0.44,37,15.1,"Estratosfera"
